,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_hybrid_model,hybrid_train_time,q_best,precision,recall,F1,inference_time
0,SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.340244996547699,best_hybrid_14.pth,3.7395299037297565,0.1,0.9386915973721689,0.9961970697935204,0.9665897936254508,1.8052672743797302
1,SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,100,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.6432951013247172,best_hybrid_14.pth,5.112822842597962,0.1,0.943765925665583,0.999534710589987,0.9708500926469924,1.5353820323944092
2,SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,4.614603988329569,best_hybrid_14.pth,10.210210931301116,0.1,0.9666337686000608,1.0,0.9830338358200313,2.445017925898234
3,SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.31421103477478,best_hybrid_14.pth,6.634758520126343,0.1,0.9668303969352728,1.0,0.983135504151038,2.7407882769902545
4,SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,120,60,24,36,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.097332457701365,best_hybrid_14.pth,4.940722219149271,0.1,0.948350648526269,0.9998215401088605,0.9734061614307898,1.7171139001846314
5,SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,6.3510067423184715,best_hybrid_13.pth,6.725459428628286,0.1,0.9437826173122233,0.9994403507135529,0.9708144104556213,1.8372883955637613
6,SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.3174172361691794,best_hybrid_14.pth,3.657389458020528,0.1,0.9367471259103193,0.9971478023451403,0.9660042273312315,1.6084189216295879
7,SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.3377029259999593,best_hybrid_13.pth,3.766175405184428,0.1,0.9369309603330741,0.998439823505034,0.966707971912433,1.8577789187431335
8,SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,160,80,32,48,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.1918867588043214,best_hybrid_14.pth,7.889130874474843,0.1,0.9585259885204082,1.0,0.9788238646192672,2.173576656977336
9,SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,120,60,24,36,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.101369857788086,best_hybrid_14.pth,5.967175249258677,0.1,0.9498580087314034,0.9998215401088605,0.9741995783250375,1.745028551419576
