,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_trans_model,trans_train_time,AUC,q_best,precision,recall,F1,inference_time
0,SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,140,70,28,42,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,13.417537983258566,best_trans_14.pth,19.60448498725891,0.7799600089103347,0.99,0.8099834730083513,1.0,0.8950175347867544,50.83917674223582
1,SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,44.36586924393972,best_trans_12.pth,48.79630043506622,0.992806868328635,0.1,0.9673791839126079,1.0,0.9834191515524131,74.96721283992132
2,SCADA1_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,6,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,19.151941978931426,best_trans_13.pth,38.42186980247497,0.815673821639656,0.99,0.7496634671661009,1.0,0.8569230383261275,51.48617656628291
3,SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,50,25,10,15,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,4.068293396631876,best_trans_14.pth,13.119752188523611,0.5560227919865016,0.99,0.6350353219932428,1.0,0.7767848357172888,51.603502774238585
4,SCADA2_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,9.978085072835286,best_trans_14.pth,22.97112726767858,0.9926659850525077,0.1,0.9666566140159083,1.0,0.9830456492778348,50.890385977427165
5,SCADA2_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,6,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_6stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,23.788442202409108,best_trans_14.pth,46.199881700674695,0.9934323579588336,0.1,0.9666433975435352,1.0,0.9830388150194745,43.6771671017011
6,SCADA1_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,100,25,10,15,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,10.825380623340607,best_trans_14.pth,18.775243751207988,0.5974224966817067,0.99,0.6349912880507197,1.0,0.776751891819281,56.81117015679677
7,SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,150,100,40,60,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,14.057586065928142,best_trans_13.pth,26.711004853248596,0.9968418890464675,0.1,0.9854652120892522,1.0,0.9926794043923574,55.15165175596873
8,SCADA1_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,80,40,16,24,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,6.317240905761719,best_trans_14.pth,15.528281740347545,0.5779449827053478,0.99,0.7089316526774486,1.0,0.829678181180316,51.12487117846807
9,SCADA2_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,80,40,16,24,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,8.083314514160156,best_trans_14.pth,18.600003123283386,0.9919526480268137,0.1,0.9610665080781049,1.0,0.9801467763783029,39.37713950872421
