,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_vanilla_model,vanilla_train_time,q_best,precision,recall,F1,inference_time
0,SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,1.3113620201746623,best_vanilla_14.pth,4.148462565739949,0.1,0.936279218699968,0.9979278905926233,0.966121095547715,1.5923905769983928
1,SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,100,50,20,30,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.634836494922638,best_vanilla_13.pth,5.525515174865722,0.1,0.9436440305719055,0.9995812395309883,0.9708075376203172,1.5620431820551555
2,SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,4.6119844794273375,best_vanilla_13.pth,10.915498415629068,0.1,0.9656990083240107,1.0,0.9825502319883476,2.378627129395803
3,SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,100,40,60,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,2.1643015861511232,best_vanilla_13.pth,7.020437411467234,0.1,0.9666654025560317,1.0,0.9830501937947126,2.385956847667694
4,SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,120,60,24,36,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_2stacks_128dff_120auto_60trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.0790584961573284,best_vanilla_13.pth,4.9632949511210125,0.1,0.9498665084544645,1.0,0.9742887570363609,1.7280718247095743
5,SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,6.320768173535665,best_vanilla_14.pth,7.2182168881098425,0.1,0.9438033999823835,0.9994403507135529,0.9708254054543807,1.6459080417950949
6,SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.2928308685620626,best_vanilla_14.pth,3.8659342646598818,0.1,0.9375786271415174,0.9992442895102508,0.9674297852253954,1.5694210330645244
7,SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.3172284960746765,best_vanilla_14.pth,4.144452281792959,0.1,0.9366582058493974,0.9985373345359694,0.9666084576175192,1.5728603879610696
8,SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,160,80,32,48,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/summary/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/result/,../experiments/Vanilla Transformer/SCADA2_CEN_AUTO_3stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.1919793208440144,best_vanilla_14.pth,8.407164450486501,0.1,0.9598267741677976,1.0,0.9795016445526105,2.144608489672343
9,SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,120,60,24,36,64,1,4,10,15,default,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/summary/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/result/,../experiments/Vanilla Transformer/SCADA1_CEN_AUTO_3stacks_128dff_120auto_60trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,2.0962722023328144,best_vanilla_14.pth,6.4064650416374205,0.1,0.9485354851007053,0.9990853930579102,0.9731544353305448,1.7421927094459533
